task_type,subject_importance,deadline_days,estimated_time,difficulty,urgency_self,energy_required,self_reported_procrastination,completion_status,actual_time_vs_estimate,energy_at_attempt,priority
Revision / Practice,Optional,6.059730753473193,111.44404024455719,3.5610503696477283,3.0005535940922194,High,2.7898406291249462,Completed on time,Same as estimated,Medium,High
Revision / Practice,Core,17.050599509711184,99.8013991472437,1.8405144009226602,3.7486701677516447,Medium,1.7692705401440483,Did not start,Much more,Medium,Low
Project,Optional,16.990016179279866,57.88011515468415,4.637050587368153,1.4239627688931837,High,2.169985455898565,Did not start,Much more,High,High
Revision / Practice,Core,19.70661408210438,119.96872395981998,3.2526163854705077,1.0745013756524355,Low,2.1424555379505765,Did not start,Less than estimated,High,Low
Project,Optional,4.152704335433262,57.64865578980583,1.0252760985722849,1.5624635958227109,High,4.243096436580483,Completed but late,Much more,Low,High
Revision / Practice,Core,13.823298792291814,100.90713975172962,4.3438377284827645,1.1198794356847532,Medium,2.2246198294494453,Started but not completed,Same as estimated,Low,Low
Assignment,Core,15.472924114228263,32.19848955873337,1.790407636144939,2.8488211684285423,Medium,3.079649642276703,Started but not completed,Same as estimated,Low,High
Reading / Notes,Secondary,6.18954891022341,51.369916105745375,3.6945559697210415,1.338149483530335,Low,4.867486597968602,Did not start,Same as estimated,Low,Medium
Project,Core,12.503776821664719,30.31307083520702,1.080359595876446,4.904083802857258,Low,2.5759830564314403,Did not start,Slightly more,Medium,High
Reading / Notes,Core,2.3791998068170006,40.618919252604364,4.605325228796422,3.6948183273392474,Low,1.6107359591386499,Completed but late,Slightly more,Medium,High
Reading / Notes,Secondary,13.297770318061763,92.24663493782344,2.5753975145818773,4.44005897282119,Medium,4.62821317603282,Did not start,Same as estimated,High,High
Reading / Notes,Secondary,16.904557281146158,46.270166497183396,2.7679009866733884,3.3951574164169687,High,1.1203888085359055,Completed on time,Less than estimated,Low,Low
Reading / Notes,Optional,0.6080517930507945,109.4163975742724,3.377058071859442,4.665102028806784,Medium,4.4054245642813985,Did not start,Slightly more,Medium,Medium
Reading / Notes,Core,11.296238657253987,72.15854808451158,2.6021842876449433,3.324480958854994,Low,3.312973920297054,Completed but late,Same as estimated,High,Low
Project,Core,17.063142079042347,73.73288961942191,2.994399835155326,3.1252325890496366,High,2.5913182837335462,Started but not completed,Less than estimated,Low,Medium
Revision / Practice,Optional,9.404157473200026,44.07631667385864,1.8732984905299124,2.210494418746247,Medium,3.1822772417495266,Started but not completed,Slightly more,Low,Medium
Project,Optional,19.567600938029265,116.4103976330832,1.3515400811032365,4.418329068308717,High,2.399052667882189,Started but not completed,Less than estimated,High,Medium
Revision / Practice,Secondary,19.301740916324242,109.78277366939858,4.713937351057677,1.3499384759125164,Low,3.985809825004037,Completed on time,Slightly more,High,Low
Assignment,Optional,3.9930622719688613,100.93925715855016,1.3081641541379962,4.282235473747683,Low,1.6991250100012314,Did not start,Much more,Medium,High
Assignment,Core,9.100615221166668,55.23024624894663,2.715495638699217,3.782060730504995,Medium,2.333212019250265,Completed on time,Less than estimated,Medium,Medium
Revision / Practice,Core,10.123079062985525,40.06574762399589,1.3542463869691397,1.9195133673939302,Medium,4.620335685804047,Completed but late,Less than estimated,Low,High
Reading / Notes,Core,17.960319280718686,75.0288212243955,1.984346579231139,3.5150258385342887,Medium,3.011577097607529,Completed but late,Much more,Low,High
Revision / Practice,Secondary,3.5478317428751915,95.76422079024663,3.397815859088553,2.2886746796365425,Medium,2.5771125268674213,Did not start,Same as estimated,High,Medium
Assignment,Optional,18.485774048113104,113.60853634652669,1.2573223999175198,1.1276475144787992,High,2.049909472275356,Completed but late,Much more,Low,High
Project,Core,16.4266796432086,94.03710539657929,2.8744553881411674,4.3207563952946995,Medium,2.359829042433352,Completed on time,Slightly more,Low,Low
Reading / Notes,Optional,16.924664316057548,80.01747319071549,4.188907399787501,1.6411562622915454,Medium,4.302040471353422,Started but not completed,Less than estimated,High,Low
Project,Core,11.153966758965613,83.14541149129235,4.406216144849498,3.35249454162621,High,2.3733381261850734,Did not start,Slightly more,Medium,Low
Reading / Notes,Core,5.3058809607272135,41.91937342713357,4.8941966990674715,1.6960473020777904,Medium,1.4104235194835977,Did not start,Slightly more,High,Low
Assignment,Optional,16.39334854331503,98.65508609745623,1.6713419297060703,1.5976465147311059,Low,4.384841015816175,Did not start,Much more,Low,High
Reading / Notes,Core,0.24902403679692764,33.12919725449612,4.266350686954718,3.2456079171035426,Low,4.632673171430945,Completed on time,Slightly more,High,Low
Reading / Notes,Optional,3.101332572209068,65.33728149429935,1.2427485055289105,4.0262939990650235,Medium,4.778148597466236,Did not start,Same as estimated,Medium,High
Project,Secondary,6.456448999121999,98.10874731786147,3.723165963600973,2.496585277705382,High,4.266773739959467,Did not start,Less than estimated,Low,High
Project,Core,1.0757964540995602,95.2885073659411,2.3988780466524773,2.9694151256222883,High,1.1166431875910274,Did not start,Less than estimated,Low,High
Exam Preparation,Secondary,2.1751602287649963,81.94896119469021,3.508984365888416,1.0018126344141693,Low,1.2464345955119125,Did not start,Less than estimated,Medium,Low
Reading / Notes,Core,18.601483756587363,35.49243546385296,3.798846886281567,3.256521152866897,High,4.331288213211261,Completed on time,Same as estimated,High,Low
Project,Optional,17.85867059640389,37.27515802273168,1.6311144281084182,3.5166017879715668,Low,4.765998751773878,Completed on time,Less than estimated,High,High
Project,Secondary,11.493174194980362,84.66479783943295,4.800588393329804,4.017069101042274,High,1.7431481805329017,Started but not completed,Less than estimated,High,High
Project,Secondary,17.29828947551029,103.47575157075131,1.8641609944469697,1.3324695286663903,Low,4.352093009742484,Did not start,Less than estimated,High,High
Project,Secondary,11.134575726219522,44.0549446909866,3.619493469648487,4.432396376223236,Low,2.9792875792156854,Did not start,Much more,Low,Medium
Exam Preparation,Core,17.099263350624366,41.80611609161416,3.7647027508085324,3.9816778691372705,Medium,4.594983287103652,Completed on time,Same as estimated,Medium,Medium
Assignment,Core,9.986622024379448,71.8602479374864,2.790522523812132,3.6260817433641703,High,1.444263882314246,Started but not completed,Less than estimated,Medium,Low
Exam Preparation,Optional,16.667088098697814,102.72369189934163,2.830476893423424,1.1586335539715007,High,4.070734982941067,Completed but late,Same as estimated,High,Medium
Exam Preparation,Core,10.00049772281505,33.72403778969551,1.267704310974477,3.1880045270545905,Low,1.4713819821228902,Started but not completed,Much more,High,Low
Assignment,Core,5.204881779328181,81.84062918950886,4.991728698769679,3.7997837536305163,High,1.3756376010686373,Completed but late,Same as estimated,High,High
Assignment,Secondary,15.543687102624515,108.94908301078932,2.162947999680357,4.3072181179890086,High,3.78600313397685,Completed on time,Less than estimated,Medium,Medium
Revision / Practice,Core,11.41917629680365,83.48181376926418,3.7841587452691345,2.635619168717894,Low,2.5506578251821583,Started but not completed,Same as estimated,Medium,Low
Reading / Notes,Secondary,2.189729300167369,42.34977408567032,3.171061817094715,1.2886284695112087,High,2.6109957860595783,Completed on time,Slightly more,Medium,Medium
Revision / Practice,Core,3.2847296092936284,51.24264951865229,4.097824632343378,4.524680841768146,Low,2.227586774548699,Started but not completed,Much more,Low,Low
Project,Core,0.3686407401071201,79.44931530407125,1.4451744472867878,3.941323391478542,High,4.6195653460619415,Completed on time,Same as estimated,High,High
Reading / Notes,Secondary,6.331529661072364,72.03653271591385,1.5496394479112205,4.124905857991067,High,1.636621793141292,Completed but late,Less than estimated,Medium,Low
Assignment,Core,8.209347052377996,55.734172739696945,4.854226875838361,2.7034616916468686,Low,1.184907278494086,Did not start,Much more,High,High
Reading / Notes,Core,16.97984834491444,49.181853888203705,2.3604691395294397,2.9424322961972584,High,2.939400778345671,Completed on time,Less than estimated,Medium,High
Assignment,Secondary,19.10806066817309,61.7690384251328,4.104147439713399,3.648348412719148,High,2.685245173156196,Completed but late,Less than estimated,High,High
Reading / Notes,Secondary,14.026134666832725,61.37169482110201,1.797742402650794,3.616410274220228,Medium,1.2851465164210922,Completed on time,Same as estimated,Low,Medium
Exam Preparation,Optional,14.951140214647332,39.49229429308868,1.8787711353700445,2.9685634518026993,Low,3.3149204079826116,Completed on time,Slightly more,Medium,High
Exam Preparation,Secondary,2.9702941288556484,92.16728070191505,3.9594046264481975,1.6200396493480338,High,2.656721755993613,Started but not completed,Much more,Medium,High
Project,Core,19.83591605800632,38.576667131808165,1.4254132775848891,2.5930778644331074,High,3.7426880111212593,Did not start,Slightly more,Low,Medium
Exam Preparation,Secondary,13.63311685569565,118.25377948968926,2.185784945830992,2.054301203569067,Medium,3.6641410152807534,Did not start,Slightly more,High,Low
Reading / Notes,Core,8.8164144750489,68.71505531536619,4.635851205059941,3.3105057814290366,High,4.741725187050786,Started but not completed,Less than estimated,High,High
Assignment,Core,12.14950322782335,69.15192147157333,1.528387578168331,4.4120217435469495,Medium,4.726508033986072,Started but not completed,Same as estimated,Low,Low
Reading / Notes,Optional,16.754058249023803,90.73733439911527,2.5120404601147555,2.5803629045184446,Low,2.221526257935091,Completed but late,Less than estimated,Medium,Medium
Assignment,Core,5.496464180716078,40.39341093409759,1.506665886154797,3.3665301255133313,Medium,1.4194959656819406,Completed on time,Same as estimated,Low,Low
Reading / Notes,Optional,12.710509093413817,81.58676307394603,2.597518034301756,3.8770876264648746,Medium,1.5688013347729974,Completed but late,Slightly more,Medium,High
Assignment,Secondary,7.047261786241306,113.42024085205844,4.141514917095975,1.6562776372110326,Low,3.9588435692643618,Completed but late,Same as estimated,Medium,Medium
Reading / Notes,Optional,16.35264046384164,72.89987119213464,1.278926756792758,3.735605486964188,Medium,3.8471863460280593,Started but not completed,Same as estimated,High,High
Assignment,Optional,8.528334361348158,53.70327541496779,1.742147764127933,1.0858244310407321,Medium,2.136440136353128,Started but not completed,Much more,Low,Low
Project,Core,18.25331650573752,58.13043642540296,4.385645449831346,1.4793095442137503,High,1.2560804025509054,Started but not completed,Less than estimated,High,High
Assignment,Secondary,12.072629157972601,106.98178466514729,3.8349192305483553,3.0161261484794593,Low,3.6753986811433164,Did not start,Same as estimated,High,Medium
Reading / Notes,Core,13.543801399206096,115.55852859187776,4.069862760359786,3.8636725203076456,Medium,4.153612450536126,Did not start,Less than estimated,Low,Low
Reading / Notes,Optional,1.0895260662967154,93.02308352300143,1.0704003765251557,1.7625607626286737,High,2.441562572315518,Did not start,Less than estimated,High,High
Revision / Practice,Secondary,1.1990687390475707,67.92774582839903,4.466112832314786,2.9226869277484373,High,1.9668256283385124,Completed on time,Less than estimated,Medium,Medium
Project,Core,15.853630308926437,30.792134046599934,2.2469683374683163,4.773347040003985,Medium,2.261742838385932,Completed but late,Much more,Medium,High
Project,Optional,12.961959649930517,105.96349885341448,3.0522097042332903,3.817056003153879,Low,1.8822269578054147,Did not start,Much more,Medium,High
Project,Optional,5.2434625432131154,63.97980282419532,4.253534551778449,1.0668902213628475,High,2.0526728418950797,Started but not completed,Less than estimated,High,Low
Exam Preparation,Secondary,4.362886225610754,42.860952105484955,1.4118851259972929,2.08349373603148,High,4.668667645656648,Completed on time,Much more,Low,High
Project,Core,14.908817637561153,94.01084715139109,1.0176138680931146,4.304406131814767,Medium,3.002971278888729,Started but not completed,Less than estimated,Low,Medium
Exam Preparation,Secondary,8.699552428653181,65.67424983357058,3.598349529418292,1.5815459995298582,High,1.8773594878009159,Did not start,Same as estimated,Medium,High
Exam Preparation,Optional,4.86124859305998,32.38605269704147,1.3329875767942165,3.0317320050162757,Medium,1.4760548190811273,Completed on time,Same as estimated,High,Low
Revision / Practice,Optional,13.179153195045824,107.0177728990835,3.8936232625268654,4.865523173116381,Low,2.628378907667247,Completed on time,Less than estimated,Medium,High
Reading / Notes,Optional,16.383887633969167,114.88466312688945,3.423253563694408,4.141209868824678,Medium,4.73511276547555,Completed on time,Slightly more,High,High
Assignment,Core,10.63827910428262,90.96961075247599,2.5118806373807745,4.678175596386222,High,1.1795541040799962,Did not start,Less than estimated,Medium,Low
Exam Preparation,Secondary,3.263998265801953,51.61647957194517,2.872544664743415,1.5230704185374635,High,2.4718075276121816,Completed but late,Slightly more,Medium,Medium
Assignment,Optional,5.680804504446375,83.90728371033475,1.6369674216269905,2.538089492611054,Low,3.5207118115070952,Completed but late,Much more,Medium,High
Project,Secondary,16.91559982372668,36.68062228089712,3.644898463089922,2.7791359908633,Low,3.9668449785003723,Did not start,Less than estimated,Medium,High
Assignment,Optional,16.13292498251628,106.82879385921906,2.6932343633169182,2.9494699034600975,Medium,2.418569502687941,Completed on time,Same as estimated,Medium,Medium
Exam Preparation,Core,7.871049633309499,103.53672249030905,2.4995156594255374,4.377151402961934,High,4.252438127101913,Started but not completed,Same as estimated,Low,Low
Exam Preparation,Secondary,5.331692323089133,43.722056219175535,3.4959575731564487,4.3862125177912406,High,2.6733191512330485,Completed but late,Much more,Low,Medium
Reading / Notes,Secondary,8.885534232637728,103.80847709899052,2.698590313694463,4.916820611997094,Medium,4.371074210762396,Did not start,Much more,Medium,Low
Reading / Notes,Optional,9.289973096530597,101.57927247347197,2.3463098942865406,1.5348007530149448,High,4.188332054066848,Completed but late,Much more,Low,Medium
Project,Core,16.707242125085216,47.248261272241606,4.743971695676295,3.0796642538791157,High,4.288275862672256,Did not start,Slightly more,High,High
Exam Preparation,Optional,18.515394007981655,81.28011146418172,2.6811228305992696,1.1938528973135911,Low,4.7551946639820155,Completed but late,Same as estimated,Medium,High
Assignment,Optional,13.113401117314984,115.23888974752057,3.8615817375036805,2.683004165058155,Medium,3.7693162233096307,Did not start,Less than estimated,High,Low
Assignment,Core,12.812686131910597,118.24389051510416,2.1557200286118134,1.810689344722198,Low,2.03176546066768,Started but not completed,Slightly more,Medium,Medium
Project,Optional,19.814958791932284,99.3333669481307,1.0047536066989724,2.017920892631756,High,4.393504925495707,Started but not completed,Less than estimated,Medium,Low
Reading / Notes,Secondary,13.052492388642916,91.15581113525116,4.69269156994855,2.1385016594997,Medium,1.7998258360220212,Completed but late,Slightly more,Medium,Medium
Revision / Practice,Core,15.163768206069506,61.42846906558172,1.2032861511721245,3.728569394939639,Low,2.4954169467012073,Completed but late,Slightly more,Medium,Medium
Reading / Notes,Secondary,15.777586499013644,104.20528910492996,2.830598402806593,2.948680069669716,Low,3.1733202628186183,Did not start,Less than estimated,Low,Medium
Exam Preparation,Secondary,17.999868590733723,86.17974208332845,4.296826522120398,4.713564949668264,High,4.375192613646427,Completed on time,Same as estimated,Low,Medium
Exam Preparation,Secondary,15.21860858123279,94.1737964310475,3.1013250411766737,3.102057823113345,Low,3.1881347159702274,Started but not completed,Much more,Medium,High
Revision / Practice,Secondary,1.838471003182558,110.31147273687604,3.2230661490844463,1.9308545189910578,Medium,2.453896510858811,Started but not completed,Slightly more,Low,High
Reading / Notes,Core,12.9766905209712,94.20367010292733,1.6622102356957016,3.756526117254401,Medium,3.515836347299207,Started but not completed,Less than estimated,High,Medium
Revision / Practice,Core,0.3774734185382078,102.36807694151325,2.7295254632569566,2.640438689378527,Low,2.996924065964896,Completed on time,Same as estimated,Low,Low
Reading / Notes,Secondary,14.426022107013845,36.07218510777744,3.3600760019070126,3.7959621657709715,Medium,1.8644525208903882,Did not start,Much more,Medium,Low
Assignment,Optional,12.159692510557926,58.025558402063105,2.820004254878669,2.599926261299392,Medium,4.724405587352622,Did not start,Slightly more,Medium,High
Exam Preparation,Secondary,10.395978485785566,49.338520702069246,2.8493506645289983,4.128651310680789,Low,2.2533244484254733,Completed on time,Same as estimated,Low,Low
Exam Preparation,Optional,13.733412298211991,53.888335046925015,4.394050387736863,1.5721152174938142,Medium,2.478154935976505,Completed on time,Much more,Medium,Medium
Project,Secondary,17.593625131861085,50.46577388517846,2.5317772903122253,4.17993080026457,High,1.584374295815305,Completed on time,Less than estimated,High,Medium
Revision / Practice,Core,13.367625426772607,105.32895852861986,4.787950124476987,2.5909725785854114,Medium,3.079354907599519,Started but not completed,Slightly more,Low,Low
Project,Secondary,1.8468958719260309,65.05683072440806,3.3520303189815372,1.6690929666685146,Medium,1.5735260159440982,Did not start,Much more,Medium,Low
Revision / Practice,Secondary,16.1645949522557,52.35486883527335,4.622537713885913,2.24858818442218,Medium,3.5055281354827184,Completed but late,Less than estimated,Low,Medium
Assignment,Core,19.454735141514913,112.86120475228914,4.236462069744876,3.5856047094599024,Low,2.906496436231277,Started but not completed,Same as estimated,High,Medium
Project,Secondary,3.2282072224784097,70.63337615565281,1.5559295377753246,4.563736747622736,High,2.9809622608825705,Started but not completed,Same as estimated,Low,Low
Exam Preparation,Secondary,10.959920055703527,69.4046337107205,2.718636345210978,2.2556761298782284,Medium,3.168575976807949,Did not start,Less than estimated,Medium,Low
Exam Preparation,Core,8.7862192571629,37.8981978614098,3.020390607667136,1.1740689088000424,High,2.931390533676731,Did not start,Slightly more,High,Low
Reading / Notes,Secondary,15.766778246805963,95.98472546465715,2.8399084160616113,2.4520251722144044,Low,4.713412828561507,Did not start,Same as estimated,High,Low
Project,Optional,18.17462012754149,55.1261990906042,3.34999506047066,4.923891045249848,Low,1.0796435562219924,Completed on time,Less than estimated,Low,Medium
Reading / Notes,Core,2.080284688013825,69.87237525015064,3.678337768638732,1.3758403408497575,Low,1.2256562199606154,Completed on time,Less than estimated,Low,High
Exam Preparation,Optional,6.001198460033876,106.05262266078016,1.0840122877566518,2.959761497463621,Medium,1.7791179880035872,Did not start,Same as estimated,Low,Low
Reading / Notes,Core,16.98300844019724,74.35138168627984,2.6918338901273313,2.3568232837996015,Medium,3.1267113144346994,Completed on time,Much more,High,High
Reading / Notes,Optional,18.79167504590597,35.60383770653456,3.775301698618692,4.648448212315262,Medium,2.606065968717743,Did not start,Same as estimated,High,Medium
Exam Preparation,Secondary,8.584262412298134,37.44547985272041,2.7054782214378728,4.570923646086202,Low,4.315737230922625,Started but not completed,Same as estimated,Medium,Medium
Project,Secondary,7.152396016558664,69.71887920104554,2.613353519330758,3.2738965492865773,High,4.3361445621581485,Did not start,Less than estimated,Medium,Low
Assignment,Core,8.802996422006624,59.39890306620907,4.381612074551748,2.768815717586932,High,3.2585120377382304,Did not start,Same as estimated,Medium,Medium
Project,Secondary,11.587254813054177,97.32513269972381,2.1030681009308236,4.996368637502066,Medium,1.4558576584640766,Completed on time,Slightly more,Medium,Low
Revision / Practice,Optional,17.13234233110646,66.41201018778551,3.218782924447489,3.154074088030444,High,2.8975335591170785,Completed on time,Much more,High,Low
Reading / Notes,Optional,10.405281233970182,97.86658461912268,3.84940306139585,3.722103311215477,Low,2.5314272720966726,Started but not completed,Slightly more,High,High
Reading / Notes,Optional,2.0461253047578887,73.3040164125742,2.420679939322888,1.0089363302840546,Low,3.8448757656300216,Did not start,Less than estimated,Medium,High
Exam Preparation,Core,13.871813701864443,111.60055313860161,4.948551336347993,1.499612266772298,High,1.4316300663265116,Completed but late,Slightly more,Medium,Medium
Project,Core,11.492940254296496,68.84738687714214,2.719226919705954,2.967730780234931,Medium,1.284077379717059,Completed on time,Same as estimated,High,Medium
Revision / Practice,Secondary,7.551398271027676,107.99971982100598,1.5644510071267446,3.170850175532902,High,4.956346069141201,Completed but late,Same as estimated,Medium,High
Reading / Notes,Secondary,4.173618053177894,33.15763191706153,4.0384119345686145,4.791000918030713,Medium,4.663156777530006,Did not start,Much more,Low,High
Assignment,Secondary,1.9670379310936004,106.8157501435423,1.069365323594107,4.248072580805693,Low,4.520382224231054,Completed on time,Same as estimated,High,Medium
Project,Secondary,17.64701736306319,69.13480467323296,1.6000957822267967,1.2824480111474923,Medium,1.2537804115837634,Completed on time,Same as estimated,High,Low
Project,Core,7.609885099637969,95.69867041805036,1.0803664083930813,4.056693025988835,Low,4.827197023015179,Started but not completed,Slightly more,Medium,Medium
Project,Secondary,10.079907138856969,115.2929355712037,3.8284984880276425,1.1399806414121354,High,1.739039055790101,Did not start,Slightly more,High,Medium
Project,Secondary,14.344607337590432,90.99214025414406,1.1292355382294694,4.145901108840539,Medium,1.854027413599741,Started but not completed,Much more,Low,Low
Revision / Practice,Core,9.25390215000739,109.41961830984665,3.301128389410717,4.749063363489656,Medium,3.2210499855989023,Started but not completed,Less than estimated,Low,Medium
Exam Preparation,Secondary,10.204495262135463,116.25552058206912,4.483866451577078,4.480832904659042,High,4.792866825656105,Completed but late,Less than estimated,Medium,High
Assignment,Secondary,0.045832841812214475,100.75807094055702,3.50168476181994,4.126149268722161,Medium,4.703881288511134,Did not start,Less than estimated,High,High
Exam Preparation,Secondary,6.006411467837374,104.44148196765325,1.2120561799340188,1.651014943682457,High,1.517790159576681,Started but not completed,Slightly more,Low,Low
Assignment,Core,6.066207767965834,83.74257294040069,4.374535461232764,1.8686929615842205,Medium,4.877291547186738,Completed but late,Same as estimated,High,Low
Revision / Practice,Optional,15.792531119597655,93.91135535853897,4.135763419433028,4.28581382369069,High,4.533066882610029,Did not start,Slightly more,High,Medium
Reading / Notes,Core,2.3838675424956035,108.44560786523422,2.5436445732038484,3.3001184034836477,High,1.9805280942688457,Started but not completed,Much more,High,High
Exam Preparation,Optional,13.17129071476437,64.39522683739776,2.943516873698342,3.7587806620160458,Medium,4.807359681165165,Completed but late,Much more,Low,Medium
Project,Secondary,18.00380786247645,70.7273245632309,1.197831571334432,2.307911949317411,Low,2.2644451948435615,Completed but late,Same as estimated,High,Low
Reading / Notes,Secondary,7.667548623563787,51.96318230777816,2.432034647126097,2.7924636269273977,High,1.9725418134972723,Started but not completed,Same as estimated,High,Medium
Project,Secondary,3.799800648603051,117.70035626864122,2.1373330096591094,4.922674666299531,High,2.360416728632144,Started but not completed,Slightly more,High,High
Exam Preparation,Core,15.423446489352104,51.572290831872635,2.007517972158453,4.088768040644778,High,2.7197144871941488,Completed but late,Much more,Low,Medium
Exam Preparation,Secondary,13.504539413221096,118.02499657074056,3.3982463582692533,1.371005967051536,Low,3.999946521365995,Did not start,Slightly more,Medium,Low
Reading / Notes,Secondary,11.299341712082436,35.967447031509984,3.475237405064521,1.625022233551618,Medium,2.6341777272066427,Completed on time,Less than estimated,Low,Low
Project,Optional,11.469959988883229,82.21637931921043,1.6991192933436525,2.0367893923734073,High,4.046363182143594,Completed but late,Much more,Medium,Medium
Assignment,Optional,5.02982130765626,116.53466868453887,3.886294467705159,1.3069617644097784,Medium,1.8738896240612997,Did not start,Same as estimated,High,Medium
Project,Secondary,9.97944442753443,30.970621465747193,2.54067252692829,1.3373982016487806,Low,1.0458969077496012,Completed but late,Same as estimated,Low,Medium
Reading / Notes,Optional,4.161328247719968,88.5789102944205,4.777991731562766,1.661068502812535,High,1.4743751472231086,Did not start,Same as estimated,Low,High
Revision / Practice,Optional,19.32268629068002,64.24471644118955,4.600934148813103,3.3281619077367304,Low,1.9483904455100465,Did not start,Less than estimated,High,Medium
Revision / Practice,Core,0.40456680877206663,83.28601965388867,4.129807628178941,2.392249929286854,High,4.971902013690359,Completed on time,Slightly more,Low,High
Reading / Notes,Secondary,14.106522622261297,108.9005815951113,1.7850816053000775,2.238244292585148,Medium,1.0183296801043342,Completed on time,Same as estimated,Medium,Low
Exam Preparation,Core,2.128559826833174,71.36443976528858,1.513580732921708,4.024036768575663,Medium,2.3355034082257005,Started but not completed,Slightly more,High,Medium
Reading / Notes,Optional,3.7592020264401915,119.3243878694784,3.162260171642192,2.186701730488276,Medium,1.6295684709132776,Completed on time,Much more,Low,Low
Exam Preparation,Optional,13.571042183664288,62.25650625857047,2.9310638621609515,1.0926481853884615,Low,2.1672460717030804,Completed but late,Slightly more,High,Low
Project,Optional,19.97256000275802,41.81102760304581,1.8754646338522583,2.4238510396848225,High,4.664209478505526,Did not start,Much more,Low,Medium
Exam Preparation,Optional,4.915444072216935,108.8444335309646,2.7668941380912058,3.0237128491788607,Medium,1.682588684227679,Started but not completed,Slightly more,High,Medium
Exam Preparation,Optional,11.431494751418814,70.64299772331844,2.0528604622500053,1.1995915455536674,Medium,2.7504195185664084,Started but not completed,Same as estimated,Low,Low
Exam Preparation,Secondary,5.11211217653196,114.50594903807182,4.436362909089656,4.760630738338232,High,1.479261788365076,Completed but late,Much more,High,Medium
Exam Preparation,Secondary,0.519907670192088,66.08278515649835,4.53505492366137,1.875378446439115,Medium,4.086857254664838,Completed on time,Much more,Low,Medium
Exam Preparation,Optional,10.009570183133153,63.72014133689,4.897776548697394,1.5143526455443017,Medium,2.5843504560659603,Started but not completed,Slightly more,High,Low
Revision / Practice,Secondary,19.307903103581566,93.6974819368974,3.7459398999334135,1.5079396149710433,High,2.5597812819382013,Completed on time,Less than estimated,High,High
Project,Core,19.2490120128346,41.8437422451191,4.340000141074151,2.3389212437389,Medium,1.1134304691932764,Did not start,Same as estimated,Low,High
Project,Optional,19.999867775134312,54.08744829861888,1.899437141481104,3.4960253579617087,Low,4.9221812914289975,Started but not completed,Slightly more,Medium,Medium
Assignment,Optional,10.539929567693507,63.65998227250352,1.8531114391223702,4.919283308492718,Low,3.6774802818963686,Completed on time,Less than estimated,High,Medium
Exam Preparation,Optional,15.518071327663625,81.65967225139002,1.038417397767501,1.7549643825200483,Medium,1.7434156739451012,Completed but late,Less than estimated,Medium,High
Assignment,Core,15.438383614377047,42.11658382411438,4.0415106809194565,2.8654158774669654,Low,1.910829548507385,Completed on time,Less than estimated,Low,Low
Reading / Notes,Optional,7.662201590816727,110.63527260807166,2.032429191449016,2.4921656180945444,Medium,4.433542829774287,Started but not completed,Less than estimated,Low,High
Project,Secondary,17.3460890439462,91.83534244333433,3.987811692058394,1.8103921012886195,Low,3.108259757718944,Completed but late,Slightly more,High,Low
Assignment,Core,0.6249908407426896,33.77245074961271,1.0817697745064518,4.0361118354870005,Medium,1.3266564558584082,Did not start,Same as estimated,Medium,Medium
Assignment,Optional,6.748959402812611,77.26988830954053,4.04598170695483,1.2241630745062424,Medium,3.626566104468883,Started but not completed,Much more,Medium,Medium
Assignment,Optional,3.784601288555962,38.50211989191753,4.666486359299995,3.932684237848098,Low,3.274061881295066,Completed but late,Much more,High,Medium
Reading / Notes,Optional,2.3380272536100666,110.55523490659569,3.7204939322699118,3.577099049152561,Low,2.639443700403416,Did not start,Much more,Low,Medium
Project,Optional,6.4987261881984715,79.77338613168739,1.8404618941865478,4.844557885828158,Low,1.1455299059110469,Completed on time,Same as estimated,Medium,Low
Project,Secondary,6.975791872621542,60.77368064583628,2.3981007659112707,3.5618169097094685,Low,2.107432982263468,Completed on time,Slightly more,Medium,Low
Assignment,Optional,2.204854283270141,110.63696425306067,3.7512248999498943,3.5696389685927388,Medium,3.581208006310745,Did not start,Slightly more,High,Low
Exam Preparation,Optional,12.606647600916517,77.98506658580752,2.9062699154138882,1.4156594693523554,Low,1.2585998928044377,Did not start,Slightly more,Medium,Medium
Exam Preparation,Core,10.975339363676333,54.054776897931426,3.1132081127047386,2.8778773969850535,Medium,1.60723205931318,Completed on time,Same as estimated,Low,Medium
Exam Preparation,Optional,10.513563366699156,92.8514860173807,2.8502856091253017,1.3996890129650748,Medium,1.342730858002657,Did not start,Less than estimated,Medium,Medium
Project,Optional,6.908146184806547,119.68015265641918,2.6418506238919166,1.5774802384338251,High,4.906076428068577,Completed but late,Slightly more,Medium,Medium
Revision / Practice,Optional,12.231439226194265,71.20751713304722,3.892215968724749,3.847369916491304,Medium,3.8869057244423812,Did not start,Same as estimated,High,High
Exam Preparation,Optional,4.877455564941016,38.40163888309772,3.83965608910957,2.4293841138225227,High,2.62356614222565,Started but not completed,Less than estimated,Low,High
Project,Core,5.770622313802239,106.66994791405347,3.2836607014473236,2.97901978388139,Medium,3.1992833199961934,Started but not completed,Slightly more,Low,Low
Reading / Notes,Core,0.6442618233474717,90.73612456743298,1.4621083699092345,1.7954166145722832,Medium,2.3049179716813204,Started but not completed,Slightly more,Low,High
Exam Preparation,Core,0.28122693395794984,115.61896471687814,1.455942294820895,4.39418412949996,Low,2.9653337593304747,Started but not completed,Less than estimated,Low,High
